case,elliptical_radius_xi,sigma_level,sigma_over_sigma0,fitted_axis_ratio_b_over_a,fitted_ellipticity_1_minus_b_over_a,predicted_axis_ratio_b_over_a,axis_ratio_error,fitted_position_angle_deg,predicted_position_angle_deg,position_angle_error_deg,fitted_center_x,fitted_center_y,center_offset,rms_conic_residual,contour_vertex_count
Uniform density,0.25000000,1.399751394521e+00,9.682458365519e-01,0.541139729999,0.458860270001,0.541139431881,2.981182325446e-07,174.362979559,174.362885075,9.448434778268e-05,-7.923674477645e-11,-3.929560287678e-09,3.930359082351e-09,2.251048073756e-05,469
Uniform density,0.40000000,1.324966548239e+00,9.165151389912e-01,0.541139484687,0.458860515313,0.541139431881,5.280619286285e-08,174.362892611,174.362885075,7.535433380750e-06,1.446470803317e-09,-9.443412076024e-09,9.553549571884e-09,9.372175393747e-06,757
Uniform density,0.55000000,1.207361648823e+00,8.351646544245e-01,0.541139470041,0.458860529959,0.541139431881,3.816021565406e-08,174.362895942,174.362885075,1.086636702844e-05,3.081943946298e-10,-2.625178254032e-09,2.643207265866e-09,5.744839778863e-06,1037
Uniform density,0.70000000,1.032405616876e+00,7.141428428543e-01,0.541139442625,0.458860557375,0.541139431881,1.074424405001e-08,174.362888466,174.362885075,3.390671105607e-06,1.035474118016e-10,-4.225785078305e-10,4.350800636332e-10,4.958079595542e-06,1325
Uniform density,0.82000000,8.274413441695e-01,5.723635208502e-01,0.541139366921,0.458860633079,0.541139431881,-6.495988646993e-08,174.362861245,174.362885075,-2.383000166084e-05,6.135560702555e-10,-3.209032458490e-09,3.267160903750e-09,5.656839592075e-06,1549
Uniform density,0.90000000,6.301472874416e-01,4.358898943541e-01,0.541139331372,0.458860668628,0.541139431881,-1.005083045680e-07,174.362848769,174.362885075,-3.630625404784e-05,9.329354619023e-10,-4.309933984248e-09,4.409750505941e-09,8.249885751453e-06,1701
Cored radial density,0.25000000,3.119578105498e-01,6.510386673834e-01,0.541139832014,0.458860167986,0.541139431881,4.001338882453e-07,174.363053938,174.362885075,1.688628310036e-04,3.734138735189e-10,1.851106051971e-08,1.851482647732e-08,2.169366690070e-05,469
Cored radial density,0.40000000,2.098392417802e-01,4.379228719826e-01,0.541139673028,0.458860326972,0.541139431881,2.411476398567e-07,174.362972354,174.362885075,8.727884359314e-05,-7.255061047168e-10,4.736518965888e-09,4.791760743421e-09,1.313478885062e-05,757
Cored radial density,0.55000000,1.412603393917e-01,2.948025021385e-01,0.541139537421,0.458860462579,0.541139431881,1.055407975459e-07,174.362926251,174.362885075,4.117550836010e-05,-7.667621900229e-10,6.531283875820e-09,6.576138176970e-09,8.092835144166e-06,1037
Cored radial density,0.70000000,9.303867872817e-02,1.941665679329e-01,0.541139503431,0.458860496569,0.541139431881,7.155028702854e-08,174.362912783,174.362885075,2.770752220531e-05,-1.314939309849e-09,5.366282281440e-09,5.525038544000e-09,4.337528038174e-06,1325
Cored radial density,0.82000000,6.204685056449e-02,1.294883395792e-01,0.541139458465,0.458860541535,0.541139431881,2.658438968961e-08,174.362895011,174.362885075,9.935807336959e-06,-3.162334904775e-10,1.653974978516e-09,1.683934930470e-09,1.902752381613e-06,1549
Cored radial density,0.90000000,4.223399578304e-02,8.814000933144e-02,0.541139408747,0.458860591253,0.541139431881,-2.313308200552e-08,174.362877130,174.362885075,-7.945317365660e-06,3.302073820269e-11,-1.525481315703e-10,1.560810737951e-10,2.720976857614e-06,1701
